目标模块/业务域,用例名称,测试协议,测试类型,测试输入,测试工具,测试步骤,预期结果,自动化等级,描述,执行器类型,脚本路径,命令模板,参数模板,超时秒数
IVI,USB接口测试,Ethernet,Manual,USB连接与设备授权状态,ADB,"1)连接USB；2)检查ADB是否开启；3)验证授权流程",未授权USB不应开放ADB访问,B,半自动用例：需要人工插拔与授权观察，适合作为手动执行基线,,,,,
IVI,ELF编译加固测试,Linux,Manual,关键可执行文件路径,checksec,"1)对关键程序执行checksec；2)核对NX/PIE/RELRO/Canary",关键程序应开启基础编译加固项,B,半自动用例：结果可采集但仍需人工复核配置合理性,,,,,
IVI,程序去符号测试,Linux,Manual,关键ELF文件,IDA,"1)打开关键ELF；2)检查符号与调试信息",关键ELF不应保留调试符号,B,半自动用例：逆向分析工具输出需人工判读,,,,,
IVI,APK混淆加固测试,Linux,Manual,待测APK,jadx,"1)反编译APK；2)评估关键逻辑可读性与混淆强度",APK应启用混淆或加固机制,B,半自动用例：需要人工判断混淆有效性,,,,,
IVI,APK反调试测试,Linux,Manual,待测APK与运行环境,Frida,"1)安装运行APP；2)尝试Frida附加；3)观察应用行为",应用应阻止调试附加或触发保护动作,B,半自动用例：需人工验证反调试触发效果,,,,,
IVI,APK组件安全测试,Linux,Manual,APK文件与Manifest,ADB/jadx,"1)反编译查看Manifest；2)检查组件导出；3)尝试外部调用",敏感组件不应被未授权导出调用,B,半自动用例：需人工确认导出组件业务必要性,,,,,
T-BOX,车云TLS通信测试,TLS/MQTT,Manual,车云通信流量,tcpdump/Wireshark,"1)抓取车云通信；2)检查TLS版本与加密套件",车云通信应使用TLS1.2及以上且无明文敏感数据,B,半自动用例：抓包解析需要人工确认,,,,,
T-BOX,远程控制指令重放测试,TLS/MQTT,Manual,远程控车请求样本,BurpSuite,"1)抓取控车指令；2)重放请求；3)观察服务端响应",重放请求应被服务端拒绝,B,半自动用例：请求构造与业务响应需人工判定,,,,,
IVI/T-BOX,调试接口暴露测试,Linux,Manual,UART/JTAG/USB接口状态,调试工具,"1)检查调试接口是否暴露；2)验证接口可访问性",调试接口应受保护且默认不可直接访问,B,半自动用例：依赖现场硬件连接验证,,,,,
IVI/T-BOX,通信通道协议安全,Linux,Manual,业务通信链路样本,协议分析工具,"1)识别主要业务通信协议；2)验证是否启用安全协议",高风险链路不应使用明文协议,B,半自动用例：协议识别与风险判断需人工复核,,,,,
