目标模块/业务域,用例名称,测试协议,测试类型,测试输入,测试工具,测试步骤,预期结果,自动化等级,描述,执行器类型,脚本路径,命令模板,参数模板,超时秒数
OTA,升级包完整性校验,OTA,Manual,合法OTA包、篡改后OTA包,010editor,"1)获取合法OTA升级包并修改任意文件内容
2)推送篡改后的OTA包
3)触发OTA升级",系统应校验失败并拒绝升级,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
OTA,升级包签名校验,OTA,Automated,签名被篡改的OTA包,签名工具,"1)获取合法OTA包并破坏其数字签名
2)推送篡改签名后的OTA包
3)触发OTA升级",系统应因签名校验失败拒绝升级,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
OTA,升级包合法性测试,OTA,Automated,升级包hash验证、签名验证,签名工具,"1)检查升级包完整性（hash）
2)验证升级包签名合法性",升级包应通过完整性和签名验证,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
OTA,OTA升级-身份认证,OTA,Manual,OTA升级流程,升级工具,"1)触发OTA升级流程
2)检查是否需要身份认证",OTA升级应需要有效身份认证,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
OTA,OTA升级-通信协议安全,OTA,Manual,车云通信数据,tcpdump/Wireshark,"1)抓取车云通信数据
2)检查通信协议安全性",车云通信应使用安全协议（TLS等）,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
OTA,升级包存储安全,OTA,Automated,OTA升级包存储路径,ADB/SSH,"1)检查升级包存储路径
2)验证存储权限和加密",升级包应加密存储且权限受控,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
OTA,升级包非法获取,OTA,Automated,OTA升级完成的系统,ADB/SSH,"1)执行OTA升级
2)检查OTA缓存目录是否残留升级包",升级完成后OTA包应被删除或加密保护,A,原始等级: B；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 建议重新定义自动化等级,python,,,,300
OTA,OTA降级测试,OTA,Automated,低于当前版本的OTA包,OTA升级工具,"1)准备低版本OTA包
2)触发OTA升级",系统应拒绝降级升级,A,原始等级: B；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 建议重新定义自动化等级,python,,,,300
OTA,OTA升级包加密测试,OTA,Manual,OTA升级包,010Editor,"1)触发OTA升级
2)抓取升级包
3)分析升级包结构",OTA升级包应为加密状态,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
OTA,OTA日志安全,OTA,Automated,OTA升级日志,ADB/SSH,"1)查看OTA升级日志
2)检查是否包含敏感信息",OTA日志不应记录密钥、token等敏感信息,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN总线回放攻击,CAN,Manual,CAN报文录制,CAN工具,"1)录制CAN报文
2)重放录制的报文",重放应被检测并拒绝,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
